id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_state_name,place_country_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
105953,1617ee87-fcdf-46a1-9586-12e1344803c9,"March 31, 2012 07:14",2012-03-31,2012-03-31 01:44:00 UTC,New Delhi,8114,hoppy1951,Allan Hopkins,2012-07-26 14:40:36 UTC,2025-06-06 01:49:57 UTC,research,CC-BY,http://www.inaturalist.org/observations/105953,https://inaturalist-open-data.s3.amazonaws.com/photos/152412/medium.jpg,,"","1/3 Sundari takes a brief rest, deciding what she'll do next. Her belly shows a hint of the 3 cubs she's carrying.
Ranthambore National Park, Rajasthan, India.",15,0,false,,"Sawai Madhopur, IN-RJ, IN",26.1564642242,76.437500717,1345,,,,29891,,obscured,true,,google,Rajasthan,India,Bengal Tiger,Panthera tigris tigris,Bengal Tiger,Mammalia,130793
105962,214847a7-afd7-4e75-8da6-ad5a91527542,"March 22, 2012 04:17",2012-03-22,2012-03-21 22:47:00 UTC,New Delhi,8114,hoppy1951,Allan Hopkins,2012-07-26 14:40:40 UTC,2025-06-06 01:50:04 UTC,research,CC-BY,http://www.inaturalist.org/observations/105962,https://inaturalist-open-data.s3.amazonaws.com/photos/152421/medium.jpg,,"","The lovely young female, Omarpani, resting in tall grass. Elephant back, 7.9m, 250mm lens",14,0,false,,"Madhya Pradesh, IN",22.2864371375,80.5485314841,30109,,,,30298,,obscured,true,,google,Madhya Pradesh,India,Bengal Tiger,Panthera tigris tigris,Bengal Tiger,Mammalia,130793
105967,da737f48-557b-4146-87b5-e7bdb4cd2e5d,"March 20, 2012 02:38",2012-03-20,2012-03-19 21:08:00 UTC,New Delhi,8114,hoppy1951,Allan Hopkins,2012-07-26 14:40:41 UTC,2023-12-28 16:51:31 UTC,research,CC-BY,http://www.inaturalist.org/observations/105967,https://inaturalist-open-data.s3.amazonaws.com/photos/152426/medium.jpg,,"","Fresh female tiger pugmark. Open jeep/gypsy - 2.2m, 70mm lens.",3,0,false,,"Madhya Pradesh, IN",22.3124858847,80.5885973911,30109,,,,30298,,obscured,true,,google,Madhya Pradesh,India,Panthera tigris tigris,Panthera tigris tigris,Bengal Tiger,Mammalia,130793
105972,2583ad00-b123-4989-a45b-e2757051f7a8,"March 22, 2012 11:34",2012-03-22,2012-03-22 06:04:00 UTC,New Delhi,8114,hoppy1951,Allan Hopkins,2012-07-26 14:40:43 UTC,2025-06-06 01:50:16 UTC,research,CC-BY,http://www.inaturalist.org/observations/105972,https://inaturalist-open-data.s3.amazonaws.com/photos/260752794/medium.jpg,,"","Tigress Omarpani walks a whisker too close for the fixed focal length lens to frame her. 
Open jeep/gypsy - 7.9m, 300mm lens.  
Kanha National Park, Madhya Pradesh.",16,0,false,,"Madhya Pradesh, IN",22.2723534674,80.5575738152,30109,,,,30298,,obscured,true,,google,Madhya Pradesh,India,Bengal Tiger,Panthera tigris tigris,Bengal Tiger,Mammalia,130793
105973,b476cb21-1b3f-40b3-9841-7072c9ae8420,"March 23, 2012 11:49",2012-03-23,2012-03-23 06:19:00 UTC,New Delhi,8114,hoppy1951,Allan Hopkins,2012-07-26 14:40:44 UTC,2025-06-06 01:50:23 UTC,research,CC-BY,http://www.inaturalist.org/observations/105973,https://inaturalist-open-data.s3.amazonaws.com/photos/152432/medium.jpg,,"","Unnamed young female. Open jeep/gypsy - ca. 200m, 300mm lens + X1.7 teleconverter= 500mm . — at Kanha National Park, Madhya Pradesh.",15,0,false,,"Madhya Pradesh, IN",22.3724361975,80.4288821377,30109,,,,30298,,obscured,true,,google,Madhya Pradesh,India,Bengal Tiger,Panthera tigris tigris,Bengal Tiger,Mammalia,130793
105975,714674a4-706c-4e46-a169-7bbf83ad6b8a,"March 20, 2012 07:47",2012-03-20,2012-03-20 02:17:00 UTC,New Delhi,8114,hoppy1951,Allan Hopkins,2012-07-26 14:40:44 UTC,2025-06-06 01:50:33 UTC,research,CC-BY,http://www.inaturalist.org/observations/105975,https://inaturalist-open-data.s3.amazonaws.com/photos/152434/medium.jpg,,"","Munna feasts on Spotted Deer for breakfast.

Elephant back. Kanha National Park, Madhya Pradesh, India.",15,0,false,,"Madhya Pradesh, IN",22.3696608665,80.5514244489,30109,,,,30298,,obscured,true,,google,Madhya Pradesh,India,Bengal Tiger,Panthera tigris tigris,Bengal Tiger,Mammalia,130793
105977,69fd1785-f2a4-405b-b1e2-29532ba86601,"March 18, 2012 16:37",2012-03-18,2012-03-18 11:07:00 UTC,New Delhi,8114,hoppy1951,Allan Hopkins,2012-07-26 14:40:45 UTC,2023-12-28 16:51:37 UTC,research,CC-BY,http://www.inaturalist.org/observations/105977,https://inaturalist-open-data.s3.amazonaws.com/photos/152436/medium.jpg,,"","These territorial scratch marks were made some 3m up the trunk of this tree. Tigers have claws that are up to 12cm (5 inches) long, plus scent glands between their toes.",6,0,false,,"Madhya Pradesh, IN",22.3778706401,80.506919034,30109,,,,30298,,obscured,true,,"",Madhya Pradesh,India,Bengal Tiger,Panthera tigris tigris,Bengal Tiger,Mammalia,130793
105981,3946de15-ff89-4087-bd9b-9e4565785bb5,"March 21, 2012 08:00",2012-03-21,2012-03-21 02:30:00 UTC,New Delhi,8114,hoppy1951,Allan Hopkins,2012-07-26 14:40:46 UTC,2024-02-27 06:15:23 UTC,research,CC-BY,http://www.inaturalist.org/observations/105981,https://inaturalist-open-data.s3.amazonaws.com/photos/152440/medium.jpg,,"","Still fresh (?). 

Shot early one morning, while dangling over the side of a gypsy/jeep in Kanha National Park.",4,0,false,,"Madhya Pradesh, IN",22.3588672498,80.4996380754,30109,,,,30298,,obscured,true,,"",Madhya Pradesh,India,Bengal Tiger,Panthera tigris tigris,Bengal Tiger,Mammalia,130793
105984,89014bce-03f2-464f-a884-b3d1131f8637,"March 30, 2012 07:06",2012-03-30,2012-03-30 01:36:00 UTC,New Delhi,8114,hoppy1951,Allan Hopkins,2012-07-26 14:40:47 UTC,2025-09-25 13:22:27 UTC,research,CC-BY,http://www.inaturalist.org/observations/105984,https://inaturalist-open-data.s3.amazonaws.com/photos/152443/medium.jpg,,"","2/3 Just look into my eyes - hypnotic!
One of Machli's daughters - Sundari (T-17), looking directly at me through my lens. 
News - she was spotted with 3 new cubs on Friday morning, 29th June, 2012.
Ranthambore National Park, Rajasthan, India.",16,0,false,,"Sawai Madhopur, IN-RJ, IN",26.1416121158,76.5790060971,19445,,,,29891,,obscured,true,,"",Rajasthan,India,Bengal Tiger,Panthera tigris tigris,Bengal Tiger,Mammalia,130793
105985,30203133-422f-4b81-8a90-c251974b5b6a,"March 25, 2012 08:59",2012-03-25,2012-03-25 03:29:00 UTC,New Delhi,8114,hoppy1951,Allan Hopkins,2012-07-26 14:40:48 UTC,2025-06-06 01:50:48 UTC,research,CC-BY,http://www.inaturalist.org/observations/105985,https://inaturalist-open-data.s3.amazonaws.com/photos/152444/medium.jpg,,"","Munna, a 10 year old male, takes a rest in the shade. Elephant back, 7.9m, 135mm lens. 
Kanha National Park, Madhya Pradesh, india.",15,0,false,,"Madhya Pradesh, IN",22.2475605288,80.5297666993,30109,,,,30298,,obscured,true,,"",Madhya Pradesh,India,Bengal Tiger,Panthera tigris tigris,Bengal Tiger,Mammalia,130793
